	subject	acc	components
0	K300	0.4140255879386315	6
1	K309	0.6166879523201363	16
2	K310	0.42993297025555083	28
3	K311	0.5070165791062927	20
4	K312	0.36178533962758985	31
5	K313	0.4392588761009813	10
6	K314	0.34069445353224714	21
7	K315	0.5530490837476131	13
8	K316	0.35146233865398946	25
9	K319	0.28978145510403575	22
10	K320	0.32868913121786686	13
11	K321	0.22401212987976057	1
12	K322	0.3494135802469136	9
13	K323	0.32728395061728394	7
14	K324	0.23715509516747002	18
15	K325	0.27009330268398074	4
16	K326	0.14994001561433412	23
17	K327	0.360744762809148	27
18	K328	0.3077552780371408	28
19	K329	0.2848707422845354	5
20	K330	0.2905467372134039	20
21	K331	0.3634375741809928	12
22	K332	0.3168001353485224	31
23	K333	0.19881306913194194	3
24	K334	0.2885525049998734	14
