	subject	acc	f1
0	K300	0.4017220524573466	0.41176878676878675
1	K309	0.5333333333333333	0.47527931163197795
2	K311	0.7065217391304348	0.6813237941852099
3	K312	0.6537267080745341	0.6007254750898818
4	K313	0.634883667037449	0.6004830106575831
5	K314	0.6564327485380117	0.6274141876430206
6	K315	0.6100378787878789	0.6175082707515022
7	K316	0.38500624089868934	0.3782147630784647
8	K320	1.0	1.0
9	K321	0.8552631578947368	0.8562468889995022
10	K322	0.45175438596491224	0.4662180910099889
11	K323	0.7149122807017544	0.7027242331215344
12	K324	0.75	0.7291617933723198
13	K325	0.6944596443228453	0.7318430659100181
14	K327	0.8261392811296534	0.843628347883667
15	K328	0.9090909090909091	0.9091136079900125
16	K329	0.8237444100447198	0.8176948051948051
17	K332	0.619453044375645	0.5896468168025835
18	K335	0.5408152173913043	0.5361376190461857
19	K336	0.7836580086580086	0.796741285113378
20	K337	0.5639130434782609	0.558619859152158
21	K338	0.5340909090909091	0.49122019635343617
22	K339	0.7526223776223776	0.7428491577427748
23	K354	0.5365297713981925	0.46187134502923977
24	K355	0.8333333333333334	0.8392489711934156
25	K358	0.5529878618113913	0.5037108018574578
26	K359	0.5406432748538011	0.5420228653826347
27	K360	0.5348758369353335	0.4578470684461468
28	K361	0.8141304347826086	0.806589343196486
29	K362	0.8375	0.8394845574210317
30	K364	0.3703460769615192	0.38781947857019833
31	K366	0.8595352016404647	0.8688388921308176
32	K368	0.6222826086956521	0.4959646539027982
33	K369	0.6340852130325814	0.6060325476992144
34	K370	0.8804347826086957	0.8636816235928333
35	K371	0.9643719806763285	0.9674696435566001
36	K372	0.6412337662337663	0.5489498106060606
37	K373	0.6472032462870732	0.655605485938583
38	K374	0.5549171842650104	0.5006391486544524
39	K375	0.6786542443064182	0.6407283312909446
